"Follow-Up Year","Measure","C0: Surgery and Endocrine for some ER+","C1: C0 + Endocrine for all ER+","C2: C1 plus Chemo for ER-","C3: C2 plus Chemo for Advanced ER+","C4: C1 plus downstaging to 35% advanced","C5: C2 plus downstaging to 35% advanced","C6: C3 plus downstaging to 35% advanced","C7: C1 plus downstaging to 30% advanced","C8: C2 plus downstaging to 30% advanced","C9: C3 plus downstaging to 30% advanced"
"5","Cumulative BC Incidence","868 (828, 925)","","","","","","","","",""
"","Cumulative BC Mortality","129 (104, 148)","116 (98, 136)","112 (93, 136)","114 (93, 135)","102 (84, 123)","98 (80, 117)","99 (85, 118)","93 (80, 109)","91 (72, 109)","93 (76, 112)"
"","% Incident Surviving","85.2 (83.4, 87.7)","86.6 (84.7, 88.9)","87 (84.5, 89.1)","86.9 (84.7, 89.1)","88.3 (86.3, 90.5)","88.8 (87, 90.6)","88.5 (86.7, 90.1)","89.2 (87.8, 90.9)","89.5 (87.9, 91.5)","89.2 (87.5, 91.1)"
"","MRR","1 (1, 1)","0.91 (0.71, 1.13)","0.88 (0.71, 1.12)","0.89 (0.72, 1.11)","0.79 (0.6, 1.02)","0.76 (0.6, 1)","0.78 (0.59, 0.95)","0.73 (0.57, 0.91)","0.71 (0.56, 0.92)","0.73 (0.6, 0.91)"
"","ARR","0 (0, 0)","13 (-14, 41)","16 (-15, 39)","15 (-12, 40)","27 (-2, 55)","31 (0, 58)","29 (5, 54)","35 (9, 58)","38 (10, 61)","35 (10, 58)"
"","Years of Life Saved","0 (0, 0)","25 (-23, 74)","29 (-29, 109)","28 (-22, 85)","50 (3, 100)","55 (-7, 130)","53 (1, 120)","64 (18, 111)","68 (6, 142)","63 (19, 122)"
"10","Cumulative BC Incidence","1767 (1711, 1817)","","","","","","","","",""
"","Cumulative BC Mortality","428 (392, 461)","397 (369, 430)","393 (355, 430)","393 (364, 423)","352 (325, 383)","346 (315, 371)","346 (323, 381)","327 (299, 363)","321 (289, 349)","323 (297, 353)"
"","% Incident Surviving","75.8 (74.3, 77.8)","77.5 (75.9, 79.1)","77.8 (76.3, 79.3)","77.8 (76, 79.1)","80.1 (78.5, 81.5)","80.4 (79, 81.9)","80.4 (78.4, 81.9)","81.5 (79.7, 83)","81.8 (80.3, 83.4)","81.7 (80, 83.1)"
"","MRR","1 (1, 1)","0.93 (0.85, 1.01)","0.92 (0.84, 1.01)","0.92 (0.86, 1.07)","0.82 (0.75, 0.9)","0.81 (0.75, 0.9)","0.81 (0.74, 0.93)","0.77 (0.7, 0.84)","0.75 (0.67, 0.84)","0.76 (0.71, 0.86)"
"","ARR","0 (0, 0)","31 (-4, 67)","35 (-5, 70)","35 (-26, 65)","76 (38, 111)","82 (41, 114)","81 (26, 112)","100 (65, 133)","106 (64, 142)","104 (54, 133)"
"","Years of Life Saved","0 (0, 0)","120 (-49, 272)","159 (-23, 307)","148 (-90, 317)","285 (120, 433)","328 (142, 458)","312 (99, 496)","377 (231, 517)","412 (232, 578)","392 (193, 574)"
"20","Cumulative BC Incidence","3588 (3477, 3674)","","","","","","","","",""
"","Cumulative BC Mortality","1192 (1138, 1256)","1121 (1056, 1173)","1117 (1057, 1187)","1103 (1032, 1165)","1010 (947, 1053)","1000 (938, 1066)","991 (933, 1047)","952 (886, 1009)","940 (877, 989)","934 (872, 998)"
"","% Incident Surviving","66.8 (65.2, 68.2)","68.8 (67.7, 69.9)","68.9 (67.4, 70.4)","69.2 (67.8, 71)","71.8 (70.8, 73)","72.1 (70.8, 73.4)","72.4 (71.2, 74)","73.5 (72.1, 74.7)","73.8 (72.7, 75.4)","74 (72.6, 75.3)"
"","MRR","1 (1, 1)","0.94 (0.9, 0.99)","0.94 (0.88, 1)","0.93 (0.88, 0.98)","0.85 (0.81, 0.89)","0.84 (0.79, 0.89)","0.83 (0.79, 0.88)","0.8 (0.75, 0.85)","0.79 (0.74, 0.85)","0.78 (0.74, 0.83)"
"","ARR","0 (0, 0)","71 (9, 115)","75 (-5, 145)","89 (27, 146)","181 (128, 229)","192 (122, 254)","201 (134, 253)","240 (171, 301)","251 (170, 320)","258 (199, 314)"
"","Years of Life Saved","0 (0, 0)","560 (105, 962)","617 (-2, 1101)","678 (-4, 1157)","1405 (991, 1802)","1498 (930, 2025)","1532 (936, 1988)","1843 (1299, 2244)","1952 (1323, 2476)","1949 (1402, 2375)"
